id,title,company_name,location_display,salary_min,salary_max,description,created_at,redirect_url,search_term
1000,"Data Engineer, Vice President",BlackRock,"London, London, UK",,,"Data Engineer, Vice President role at BlackRock. Skills: SQL, Python, dbt, Snowflake, Airflow, Tableau, Power BI.",2026-07-22T17:42:00,https://uk.linkedin.com/jobs/view/data-engineer-vice-president-at-blackrock-4443963776,analytics engineer
1001,Senior Data Engineer,Tripadvisor,"London, London, UK",,,"Senior Data Engineer role at Tripadvisor. Skills: SQL, Python, dbt, Snowflake, Airflow, Tableau, Power BI.",2026-07-22T17:30:00,https://uk.linkedin.com/jobs/view/senior-data-engineer-at-tripadvisor-4443178590,analytics engineer
1002,Data scientist,Bending Spoons,"London, London, UK",85797,250512,"Data scientist role at Bending Spoons. Skills: SQL, Python, dbt, Snowflake, Airflow, Tableau, Power BI.",2026-07-22T17:24:00,https://uk.linkedin.com/jobs/view/data-scientist-at-bending-spoons-4443184379,analytics engineer
1003,Data Scientist (AI) - 12 month contract,Handelsbanken,"London, London, UK",,,"Data Scientist (AI) - 12 month contract role at Handelsbanken. Skills: SQL, Python, dbt, Snowflake, Airflow, Tableau, Power BI.",2026-07-22T17:18:00,https://uk.linkedin.com/jobs/view/data-scientist-ai-12-month-contract-at-handelsbanken-4441071128,analytics engineer
1004,Principal Data Scientist,Mott MacDonald,"London, London, UK",,,"Principal Data Scientist role at Mott MacDonald. Skills: SQL, Python, dbt, Snowflake, Airflow, Tableau, Power BI.",2026-07-22T17:00:00,https://uk.linkedin.com/jobs/view/principal-data-scientist-at-mott-macdonald-4443953513,analytics engineer
1005,Data Engineer,Low Carbon Contracts Company,"London, London, UK",,,"Data Engineer role at Low Carbon Contracts Company. Skills: SQL, Python, dbt, Snowflake, Airflow, Tableau, Power BI.",2026-07-22T15:12:00,https://uk.linkedin.com/jobs/view/data-engineer-at-low-carbon-contracts-company-4443167568,analytics engineer
1006,Data Engineer (Tech Lead/Staff),Octopus Energy,"London, London, UK",,,"Data Engineer (Tech Lead/Staff) role at Octopus Energy. Skills: SQL, Python, dbt, Snowflake, Airflow, Tableau, Power BI.",2026-07-22T14:42:00,https://uk.linkedin.com/jobs/view/data-engineer-tech-lead-staff-at-octopus-energy-4443932476,analytics engineer
1007,Data Scientist / Software Engineer,Arup,"London, London, UK",,,"Data Scientist / Software Engineer role at Arup. Skills: SQL, Python, dbt, Snowflake, Airflow, Tableau, Power BI.",2026-07-22T14:42:00,https://uk.linkedin.com/jobs/view/data-scientist-software-engineer-at-arup-4443940317,analytics engineer
1008,Junior Data Analyst,Ennismore,"London, London, UK",,,"Junior Data Analyst role at Ennismore. Skills: SQL, Python, dbt, Snowflake, Airflow, Tableau, Power BI.",2026-07-22T14:24:00,https://uk.linkedin.com/jobs/view/junior-data-analyst-at-ennismore-4443169281,analytics engineer
1009,Senior Analytics Engineer,Deliveroo,"London, London, UK",,,"Senior Analytics Engineer role at Deliveroo. Skills: SQL, Python, dbt, Snowflake, Airflow, Tableau, Power BI.",2026-07-22T14:12:00,https://uk.linkedin.com/jobs/view/senior-analytics-engineer-at-deliveroo-4443157520,analytics engineer
